"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"SOCPROB*",1,250,1.084,0.27794426068583,1,1,0,1,2,1,2.98143231292218,6.9166531852776,0.0175787385267763
"REPEAT*",2,250,1.148,0.35581232361816,1,1.06,0,1,2,1,1.97065687008771,1.89110083897983,0.0225035472438062
"ADDSC",3,250,51.78,11.7177139100214,52,51.775,11.8608,11,82,71,-0.0725407161585832,-0.131627466389887,0.741093298518097
"DROPOUT*",4,250,1.096,0.29518219817679,1,1,0,1,2,1,2.72634327195439,5.4548148318584,0.0186689614194772
